original_name,normalized_name,volume,volume_unit,package_count,price,price_total,source_file
SYNPOWER FE 0W20 12/1 L NSW,VALVOLINE SYNPOWER FE 0W20 12/1 L NSW,1,L,12,760.74,9128.85,
SYNPOWER MST FE C2 0W30 DR 208 L,VALVOLINE SYNPOWER MST FE C2 0W30 DR 208 L,208,L,1,783.39,162945.69,
SYNPOWER MST FE C2 0W30 PL 20 L,VALVOLINE SYNPOWER MST FE C2 0W30 PL 20 L,20,L,1,830.64,16612.80,
SYNPOWER MST FE C2 0W30 4/5 L SW,VALVOLINE SYNPOWER MST FE C2 0W30 4/5 L SW,5,L,4,834.41,16688.10,
SYNPOWER MST FE C2 0W30 4/5 L NSW,VALVOLINE SYNPOWER MST FE C2 0W30 4/5 L NSW,5,L,4,834.41,16688.10,
SYNPOWER MST FE C2 0W30 12/1 L SW,VALVOLINE SYNPOWER MST FE C2 0W30 12/1 L SW,1,L,12,877.61,10531.34,
SYNPOWER MST FE C2 0W30 12/1 L NSW,VALVOLINE SYNPOWER MST FE C2 0W30 12/1 L NSW,1,L,12,877.61,10531.34,
SYNPOWER MST FE C6 0W20 DR 208 L,VALVOLINE SYNPOWER MST FE C6 0W20 DR 208 L,208,L,1,716.48,149027.26,
SYNPOWER MST FE C6 0W20 PL 20 L,VALVOLINE SYNPOWER MST FE C6 0W20 PL 20 L,20,L,1,740.66,14813.23,
SYNPOWER MST FE C6 0W20 4/5 L SW,VALVOLINE SYNPOWER MST FE C6 0W20 4/5 L SW,5,L,4,761.94,15238.86,
SYNPOWER MST FE C6 0W20 4/5 L NSW,VALVOLINE SYNPOWER MST FE C6 0W20 4/5 L NSW,5,L,4,761.94,15238.86,
SYNPOWER MST FE C6 0W20 4/4 L SW,VALVOLINE SYNPOWER MST FE C6 0W20 4/4 L SW,4,L,4,769.31,12308.97,
SYNPOWER MST FE C6 0W20 4/4 L NSW,VALVOLINE SYNPOWER MST FE C6 0W20 4/4 L NSW,4,L,4,769.31,12308.97,
SYNPOWER MST FE C6 0W20 12/1 L SW,VALVOLINE SYNPOWER MST FE C6 0W20 12/1 L SW,1,L,12,828.85,9946.23,
SYNPOWER MST FE C6 0W20 12/1 L NSW,VALVOLINE SYNPOWER MST FE C6 0W20 12/1 L NSW,1,L,12,828.85,9946.23,
